bike_station_name,station_longitude,station_latitude,number_of_bikes,number_empty_docks,number_of_docks,number_standard_bikes,number_ebikes,bike_station_id
"Little Brook Green, Brook Green",-0.223868,51.496664,26,7,33,24,2,775
"Limburg Road, Clapham Junction",-0.165297,51.461923,21,0,21,20,1,777
"Houndsditch, Aldgate",-0.077178,51.514449,3,25,28,3,0,779
"Imperial Wharf Station, Sands End",-0.183165,51.474665,23,2,25,21,2,780
"Victoria & Albert Museum, South Kensington",-0.173009,51.495898,1,29,30,1,0,781
"Halford Road, West Kensington",-0.197609,51.483911,24,0,24,23,1,782
"Monier Road, Hackney Wick",-0.02163,51.540311,24,3,27,22,2,783
"East Village, Queen Elizabeth Olympic Park",-0.009935,51.546326,34,0,34,34,0,784
"Lee Valley VeloPark, Queen Elizabeth Olympic Park",-0.015717,51.549369,44,0,44,41,3,786
"Timber Lodge, Queen Elizabeth Olympic Park",-0.014691,51.546805,35,0,35,32,3,787
"Copper Box Arena, Queen Elizabeth Olympic Park",-0.020542,51.544909,24,7,31,22,2,788
"Podium, Queen Elizabeth Olympic Park",-0.011889,51.538718,37,3,40,37,0,789
"Stratford Station, Stratford",-0.00481,51.541793,23,5,28,23,0,790
"Blackfriars Road, Southwark",-0.10454,51.505461,20,22,42,20,0,792
"Cromer Street, Bloomsbury",-0.119558,51.528279,5,23,28,4,1,793
"Victoria Rise, Clapham Common",-0.147804,51.461376,21,2,23,20,1,794
"Euston Square Gardens, Euston",-0.131861,51.527068,10,20,30,10,0,795
"Coram Street, Bloomsbury",-0.126409,51.524,1,28,29,1,0,796
"Ossulston Street, Somers Town",-0.128279,51.5293,16,14,30,16,0,797
"Birkenhead Street, King's Cross",-0.122299,51.530199,22,5,27,22,0,798
"Kings Gate House, Westminster",-0.137598,51.497698,1,23,24,1,0,799
"Sopwith Way, Battersea Park",-0.149035,51.481121,29,1,30,29,0,800
"Lavington Street, Bankside",-0.098031,51.505224,7,22,29,7,0,801
"Albert Square, Stockwell",-0.118256,51.47659,29,3,32,28,1,802
"Southwark Street, Bankside",-0.098341,51.505409,13,10,23,13,0,803
"Good's Way, King's Cross",-0.125078,51.534667,12,15,27,12,0,804
"The Metropolitan, Portobello",-0.200804,51.520509,11,7,18,9,2,805
"Handyside Street, King's Cross",-0.124807,51.53724,2,25,27,2,0,806
"Bevington Road West, North Kensington",-0.208888,51.5212,11,13,24,9,2,807
"Gauden Road, Clapham",-0.130908,51.464995,20,8,28,15,5,808
"Lincoln's Inn Fields, Holborn",-0.118272,51.516277,3,25,28,3,0,809
"Tate Modern, Bankside",-0.098807,51.506725,7,23,30,7,0,810
"Westferry Circus, Canary Wharf",-0.027772,51.505703,19,17,36,18,1,811
"Here East North, Queen Elizabeth Olympic Park",-0.022606,51.548731,25,3,28,24,1,812
"New Spring Gardens Walk, Vauxhall",-0.122759,51.487807,33,4,37,32,1,813
"Clapham Road, Lingham Street, Stockwell",-0.12367,51.471433,21,9,30,20,1,814
"Lambeth Palace Road, Waterloo",-0.116628,51.500089,3,32,35,3,0,815
"Here East South, Queen Elizabeth Olympic Park",-0.020597,51.546532,28,0,28,28,0,816
"Riverlight South, Nine Elms",-0.138212,51.481335,26,0,26,25,1,817
"Westminster Pier, Westminster",-0.123823,51.501513,6,21,27,6,0,818
"Belvedere Road 2, South Bank",-0.114842,51.50621,6,32,38,6,0,819
"Victory Place, Walworth",-0.091938,51.492807,24,0,24,23,1,820
"Battersea Power Station, Battersea Park",-0.147714,51.483507,23,4,27,21,2,821
"Allington Street, Victoria",-0.142943,51.496863,8,20,28,8,0,826
"Normandy Road, Stockwell",-0.11258,51.473874,31,1,32,30,1,828
"Wynne Road, Stockwell",-0.112686,51.469217,25,0,25,23,2,829
"Sidney Road, Stockwell",-0.119022,51.469202,24,3,27,22,2,830
"St John's Crescent, Brixton",-0.113179,51.466232,25,0,25,25,0,831
"Ferndale Road, Brixton",-0.115781,51.464019,25,5,30,22,3,832
"Saltoun Road, Brixton",-0.115375,51.460232,36,6,42,34,2,833
"Gas Holders, Battersea Park",-0.147857,51.477966,26,0,26,26,0,834
"Farringdon Street, Holborn",-0.104947,51.516785,0,25,25,0,0,835
"York Way, Kings Cross",-0.125441,51.541596,11,13,24,10,1,836
"Fore Street Avenue, Guildhall",-0.091401,51.518093,3,22,25,3,0,838
"Sea Containers, South Bank",-0.106823,51.508033,4,26,30,1,3,839
"George Row, Bermondsey",-0.068981,51.498585,22,0,22,21,1,840
"Tower Wharf, Bermondsey",-0.074704,51.500845,15,5,20,15,0,841
"Temple Gardens, Temple",-0.108322,51.510981,2,22,24,2,0,842
"Canada Water Station, Rotherhithe",-0.04915,51.498439,35,0,35,34,1,844
"Bermondsey Station, Bermondsey",-0.063471,51.497995,24,6,30,24,0,845
"Burgess Park Albany Road, Walworth",-0.094284,51.48224,30,0,30,30,0,846
"South Bermondsey Station, Bermondsey",-0.057774,51.488067,13,11,24,11,2,847
"Crimscott Street, Bermondsey",-0.078893,51.495598,18,1,19,18,0,849
"Brandon Street, Walworth",-0.091548,51.489102,12,10,22,12,0,850
"The Blue, Bermondsey",-0.062513,51.492221,14,8,22,13,1,851
"Coomer Place, West Kensington",-0.202038,51.48357,20,7,27,20,0,852
"Wellington Street , Strand",-0.119643,51.511756,2,22,24,0,2,338
"Howick Place, Westminster",-0.138733,51.496753,2,25,27,2,0,360
"Southampton Street, Strand",-0.121723,51.510701,0,14,14,0,0,388
"Royal London Hospital, Whitechapel",-0.06111,51.518675,21,21,42,20,1,282
