bike_station_name,station_longitude,station_latitude,number_of_bikes,number_empty_docks,number_of_docks,number_standard_bikes,number_ebikes,bike_station_id
"Chadwell Street, Angel",-0.106408,51.530515,14,4,18,14,0,254
"Clifton Road, Maida Vale",-0.179592,51.525575,22,0,22,19,3,255
"Houghton Street, Strand",-0.116764,51.51362,1,14,15,1,0,256
"Westminster University, Marylebone",-0.154907,51.522481,4,12,16,3,1,257
"Kensington Gore, Knightsbridge",-0.178656,51.501432,0,23,23,0,0,258
"Bourne Street, Belgravia",-0.153233,51.490959,4,12,16,4,0,259
"Broadwick Street, Soho",-0.13558,51.513684,0,18,18,0,0,260
"Princes Square, Bayswater",-0.191351,51.513489,16,0,16,16,0,261
"LSBU (Borough Road), Elephant & Castle",-0.103132,51.498744,12,23,35,12,0,262
"St. Mary Axe, Aldgate",-0.08066,51.514225,1,20,21,1,0,263
"Tysoe Street, Clerkenwell",-0.109256,51.526443,17,3,20,16,1,264
"Southwick Street, Paddington",-0.169249,51.515953,14,3,17,14,0,265
"Queen's Gate (North), Kensington",-0.180246,51.501026,0,41,41,0,0,266
"Regency Street, Westminster",-0.132224,51.49206,10,12,22,10,0,267
"Belgrave Road, Victoria",-0.144132,51.493204,13,16,29,13,0,268
"Empire Square, The Borough",-0.08974,51.500823,37,9,46,36,1,269
"Kennington Lane Rail Bridge, Vauxhall",-0.122492,51.486343,24,7,31,23,1,270
"London Zoo,  The Regent's Park",-0.156285,51.535836,27,5,32,27,0,271
"Baylis Road, Waterloo",-0.110699,51.501444,11,11,22,11,0,272
"Belvedere Road 1, South Bank",-0.114686,51.506133,30,8,38,29,1,273
"Warwick Road, Olympia",-0.205284,51.496712,33,3,36,32,1,274
"Barbican Centre, Barbican",-0.092176,51.520044,0,19,19,0,0,275
"Lower Thames Street, Monument",-0.084985,51.509301,0,24,24,0,0,276
"Kensington Church Street, Kensington",-0.191496,51.503157,10,7,17,9,1,277
"Tooley Street, Bermondsey",-0.07962,51.503493,15,12,27,15,0,278
"North Wharf Road, Paddington",-0.176645,51.518622,4,21,25,4,0,279
"Royal Avenue 2, Chelsea",-0.162418,51.490083,9,1,10,9,0,280
"Smith Square, Westminster",-0.127575,51.495805,5,13,18,5,0,281
"Kingsway, Covent Garden",-0.118478,51.514409,1,15,16,0,1,283
"Lambeth North Station, Waterloo",-0.112031,51.49914,18,2,20,18,0,284
"St. John's Wood Road, St. John's Wood",-0.174653,51.527294,14,21,35,11,3,286
"Bedford Way, Bloomsbury",-0.128377,51.523673,8,15,23,8,0,287
"Elizabeth Bridge, Victoria",-0.147478,51.492369,6,28,34,6,0,288
"South Audley Street, Mayfair",-0.151289,51.50923,0,15,15,0,0,289
"St Mary's Hospital, Paddington",-0.171103,51.518268,10,10,20,9,1,290
"Claverton Street, Pimlico",-0.138089,51.484839,27,5,32,27,0,291
"Montpelier Street, Knightsbridge",-0.165471,51.498884,3,13,16,3,0,292
"Kensington Olympia Station, Olympia",-0.209494,51.498157,5,20,25,5,0,293
"St. George's Square, Pimlico",-0.135635,51.488226,15,1,16,15,0,294
"Swan Street, The Borough",-0.092762,51.500296,24,3,27,24,0,295
"Knaresborough Place, Earl's Court",-0.190603,51.493631,5,13,18,5,0,296
"Geraldine Street, Elephant & Castle",-0.106,51.496127,12,5,17,11,1,297
"Curlew Street, Shad Thames",-0.074189,51.502279,13,8,21,13,0,298
"Vincent Square, Westminster",-0.136928,51.493985,6,13,19,6,0,299
"Serpentine Car Park, Hyde Park",-0.17306,51.505014,3,15,18,3,0,300
"Marylebone Lane, Marylebone",-0.148105,51.514759,0,24,24,0,0,301
"Putney Pier, Wandsworth",-0.216573,51.466907,19,9,28,18,1,302
"Albert Gate, Hyde Park",-0.158456,51.502953,4,30,34,4,0,303
"Rathbone Street, Fitzrovia",-0.135025,51.518162,0,16,16,0,0,306
"Black Lion Gate, Kensington Gardens",-0.187842,51.509908,19,5,24,19,0,307
"Long Lane , Bermondsey",-0.085666,51.499075,20,0,20,19,1,308
"Embankment (Savoy), Strand",-0.119047,51.509631,12,29,41,12,0,309
